,pctProd,pctExports,pctPTG,pctOS,pctKC,pctCurrency,FXRVol,KCRVol,%chg_differential,Country
pctProd,1.0,0.5619010709054623,-0.280548081263322,-0.6180992537184246,-0.24892281083600087,-0.13851160703291251,0.04976595230718603,-0.01149578098195737,0.0697530315802263,Brazil
pctExports,0.5619010709054623,1.0,-0.4527029210213156,-0.15281379748464796,-0.35458655565534763,-0.12358240904661308,-0.1302670342540799,-0.1539456634035089,0.2464722828740574,Brazil
pctPTG,-0.280548081263322,-0.4527029210213156,1.0,-0.008244707029151758,0.9653000998708231,0.4425709164809458,0.14301545190910117,0.37344415255588365,-0.3143309588771625,Brazil
pctOS,-0.6180992537184246,-0.15281379748464796,-0.008244707029151758,1.0,-0.015565079433976222,0.13442132741186977,-0.07825244658258587,0.09242268410808903,0.006185937095520004,Brazil
pctKC,-0.24892281083600087,-0.35458655565534763,0.9653000998708231,-0.015565079433976222,1.0,0.3943555084557591,0.14182825930009899,0.4262246366989499,-0.2652030861459705,Brazil
pctCurrency,-0.13851160703291251,-0.12358240904661308,0.4425709164809458,0.13442132741186977,0.3943555084557591,1.0,0.4925004950589255,0.3870691216714272,0.03722456794548383,Brazil
FXRVol,0.04976595230718603,-0.1302670342540799,0.14301545190910117,-0.07825244658258587,0.14182825930009899,0.4925004950589255,1.0,-0.038615861503219266,0.6238834765906148,Brazil
KCRVol,-0.01149578098195737,-0.1539456634035089,0.37344415255588365,0.09242268410808903,0.4262246366989499,0.3870691216714272,-0.038615861503219266,1.0,0.014294440262661457,Brazil
%chg_differential,0.0697530315802263,0.2464722828740574,-0.3143309588771625,0.006185937095520004,-0.2652030861459705,0.03722456794548383,0.6238834765906148,0.014294440262661457,1.0,Brazil
pctProd,1.0,0.8429915342324127,0.15771615556770027,0.2996667055573503,0.13920380222113618,-0.7230051909399747,0.0252288179790692,0.0958397031729049,-0.1510228494874659,Colombia
pctExports,0.8429915342324127,1.0,-0.09775853179302459,0.6601402930379664,-0.1611541513656008,-0.7007229201738288,-0.01671814801848922,-0.17361249730434936,-0.2331575849367428,Colombia
pctPTG,0.15771615556770027,-0.09775853179302459,1.0,-0.11813334613732225,0.928865749370157,-0.20174870136063922,0.0992186397048702,0.3827168108052622,0.1642465055181682,Colombia
pctOS,0.2996667055573503,0.6601402930379664,-0.11813334613732225,1.0,-0.16986562933984511,-0.3699117489112784,-0.10427584312466394,-0.34032196133652226,-0.04227062974047548,Colombia
pctKC,0.13920380222113618,-0.1611541513656008,0.928865749370157,-0.16986562933984511,1.0,-0.15468645371442621,-0.0028098714187964435,0.4396261902980239,0.31002512472770594,Colombia
pctCurrency,-0.7230051909399747,-0.7007229201738288,-0.20174870136063922,-0.3699117489112784,-0.15468645371442621,1.0,-0.2849809795586369,-0.15182950949524684,0.14229985798775754,Colombia
FXRVol,0.0252288179790692,-0.01671814801848922,0.0992186397048702,-0.10427584312466394,-0.0028098714187964435,-0.2849809795586369,1.0,-0.01024708845538319,-0.35678362096777605,Colombia
KCRVol,0.0958397031729049,-0.17361249730434936,0.3827168108052622,-0.34032196133652226,0.4396261902980239,-0.15182950949524684,-0.01024708845538319,1.0,0.43512451007744923,Colombia
%chg_differential,-0.1510228494874659,-0.2331575849367428,0.1642465055181682,-0.04227062974047548,0.31002512472770594,0.14229985798775754,-0.35678362096777605,0.43512451007744923,1.0,Colombia
pctProd,1.0,0.8943039849160738,0.47201837329894425,-0.21120890914145873,0.3949272513764377,0.6682771424492363,0.002810387871023207,0.18896051534494412,-0.195939976776268,Honduras
