Crop year,1990/91,1991/92,1992/93,1993/94,1994/95,1995/96,1996/97,1997/98,1998/99,1999/00,2000/01,2001/02,2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19
Angola,50,79,78,33,77,62,71,64,85,55,50,21,57,38,15,25,35,36,38,13,35,29,33,35,39,41,45,35,40
Bolivia (Plurinational State of),123,104,120,51,117,142,125,141,138,158,148,94,127,103,155,110,146,116,120,128,117,132,105,120,100,84,78,84,83
Brazil,"27,286","27,293","34,603","28,167","28,192","18,060","29,197","26,148","36,761","47,578","31,310","31,365","48,352","28,873","39,281","32,933","48,432","38,911","51,491","43,977","55,428","48,592","55,418","54,689","53,305","52,871","56,788","52,740","62,925"
Burundi,487,667,620,393,664,434,401,250,492,351,487,144,454,338,437,103,499,133,412,112,353,204,406,163,248,274,249,202,178
Ecuador,"1,504","2,124","1,185","2,069","2,376","1,888","1,993","1,191","1,206","1,198",854,793,582,641,780,935,"1,035",950,771,813,854,825,828,666,644,644,645,624,601
Indonesia,"7,441","8,493","5,569","6,743","5,368","4,573","8,221","7,621","7,296","6,557","6,987","6,833","6,731","6,404","7,536","9,159","7,483","7,777","9,612","11,380","9,129","6,889","13,070","12,901","10,946","12,585","11,541","10,852","9,418"
Madagascar,982,933,"1,122",442,641,785,849,624,992,427,362,147,445,435,522,599,587,614,728,457,530,585,500,584,501,425,421,409,396
Malawi,105,124,137,62,84,91,49,61,64,59,63,60,42,48,21,24,17,19,21,17,17,26,23,28,25,21,20,14,13
Papua New Guinea,963,747,900,"1,019","1,139","1,002","1,089","1,074","1,352","1,387","1,041","1,063","1,085","1,155",998,"1,268",807,968,"1,028","1,038",867,"1,414",716,835,798,712,"1,171",734,930
Paraguay,131,80,54,70,25,23,26,23,58,20,42,20,26,52,26,45,26,39,20,20,20,20,20,20,20,20,20,20,20
Peru,937,"1,200","1,762",665,"1,179","1,871","1,806","1,930","2,102","2,744","2,676","2,829","3,000","2,686","3,425","2,489","4,319","3,063","3,872","3,286","4,069","5,373","4,450","4,106","2,883","3,304","4,223","4,279","4,263"
Rwanda,535,484,639,444,22,329,293,193,223,307,273,296,320,266,450,337,351,224,369,259,323,251,259,258,238,293,231,254,268
Timor-Leste,0,0,0,0,0,0,0,0,0,0,7,33,37,42,17,24,46,36,48,47,60,47,61,80,111,59,82,65,139
Zimbabwe,252,201,78,12,106,131,174,130,149,125,109,121,110,92,120,66,45,31,24,21,10,9,7,9,15,14,15,7,9
Congo,3,3,3,3,8,12,14,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Cuba,414,302,284,285,284,285,366,300,280,328,312,285,239,224,180,100,105,110,133,92,108,100,88,107,101,100,103,113,118
Dominican Republic,880,321,638,604,730,886,519,941,487,607,467,387,455,351,491,310,387,465,645,352,378,491,488,425,397,400,412,412,431
Haiti,393,463,500,451,450,514,428,432,439,399,420,403,374,374,365,356,362,359,359,351,350,349,350,345,343,341,342,342,347
Philippines,974,"1,018",920,875,877,850,890,935,677,622,341,263,255,293,355,432,441,446,587,730,189,180,177,186,193,208,215,203,206
