,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Interest Rates selected indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Source: International Financial Statistics (IFS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Metadata by Country (IFS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Indicator,,,Scale,1990M01,1990M02,1990M03,1990M04,1990M05,1990M06,1990M07,1990M08,1990M09,1990M10,1990M11,1990M12,1991Q1,1991M01,1991M02,1991M03,1991M04,1991M05,1991M06,1991M07,1991M08,1991M09,1991M10,1991M11,1991M12,1992M01,1992M02,1992M03,1992M04,1992M05,1992M06,1992M07,1992M08,1992M09,1992M10,1992M11,1992M12,1993M01,1993M02,1993M03,1993M04,1993M05,1993M06,1993M07,1993M08,1993M09,1993M10,1993M11,1993M12,1994M01,1994M02,1994M03,1994M04,1994M05,1994M06,1994M07,1994M08,1994M09,1994M10,1994M11,1994M12,1995Q1,1995M01,1995M02,1995M03,1995Q2,1995M04,1995M05,1995M06,1995Q3,1995M07,1995M08,1995M09,1995Q4,1995M10,1995M11,1995M12,1996Q1,1996M01,1996M02,1996M03,1996M04,1996M05,1996M06,1996M07,1996M08,1996M09,1996M10,1996M11,1996M12,1997,1997M01,1997M02,1997M03,1997M04,1997M05,1997M06,1997M07,1997M08,1997M09,1997M10,1997M11,1997M12,1998M01,1998M02,1998M03,1998M04,1998M05,1998M06,1998M07,1998M08,1998M09,1998M10,1998M11,1998M12,1999M01,1999M02,1999M03,1999M04,1999M05,1999M06,1999M07,1999M08,1999M09,1999M10,1999M11,1999M12,2000M01,2000M02,2000M03,2000M04,2000M05,2000M06,2000M07,2000M08,2000M09,2000M10,2000M11,2000M12,2001M01,2001M02,2001M03,2001M04,2001M05,2001M06,2001M07,2001M08,2001M09,2001M10,2001M11,2001M12,2002M01,2002M02,2002M03,2002M04,2002M05,2002M06,2002M07,2002M08,2002M09,2002M10,2002M11,2002M12,2003Q1,2003M01,2003M02,2003M03,2003Q2,2003M04,2003M05,2003M06,2003Q3,2003M07,2003M08,2003M09,2003Q4,2003M10,2003M11,2003M12,2004M01,2004M02,2004M03,2004M04,2004M05,2004M06,2004M07,2004M08,2004M09,2004M10,2004M11,2004M12,2005M01,2005M02,2005M03,2005M04,2005M05,2005M06,2005M07,2005M08,2005M09,2005M10,2005M11,2005M12,2006M01,2006M02,2006M03,2006M04,2006M05,2006M06,2006M07,2006M08,2006M09,2006M10,2006M11,2006M12,2007M01,2007M02,2007M03,2007M04,2007M05,2007M06,2007M07,2007M08,2007M09,2007M10,2007M11,2007M12,2008M01,2008M02,2008M03,2008M04,2008M05,2008M06,2008M07,2008M08,2008M09,2008M10,2008M11,2008M12,2009M01,2009M02,2009M03,2009M04,2009M05,2009M06,2009M07,2009M08,2009M09,2009M10,2009M11,2009M12,2010M01,2010M02,2010M03,2010M04,2010M05,2010M06,2010M07,2010M08,2010M09,2010M10,2010M11,2010M12,2011M01,2011M02,2011M03,2011M04,2011M05,2011M06,2011M07,2011M08,2011M09,2011M10,2011M11,2011M12,2012M01,2012M02,2012M03,2012M04,2012M05,2012M06,2012M07,2012M08,2012M09,2012M10,2012M11,2012M12,2013M01,2013M02,2013M03,2013M04,2013M05,2013M06,2013M07,2013M08,2013M09,2013M10,2013M11,2013M12,2014,2014Q1,2014M01,2014M02,2014M03,2014Q2,2014M04,2014M05,2014M06,2014Q3,2014M07,2014M08,2014M09,2014Q4,2014M10,2014M11,2014M12,2015,2015Q1,2015M01,2015M02,2015M03,2015Q2,2015M04,2015M05,2015M06,2015Q3,2015M07,2015M08,2015M09,2015Q4,2015M10,2015M11,2015M12,2016,2016Q1,2016M01,2016M02,2016M03,2016Q2,2016M04,2016M05,2016M06,2016Q3,2016M07,2016M08,2016M09,2016Q4,2016M10,2016M11,2016M12,2017,2017Q1,2017M01,2017M02,2017M03,2017Q2,2017M04,2017M05,2017M06,2017Q3,2017M07,2017M08,2017M09,2017Q4,2017M10,2017M11,2017M12,2018,2018Q1,2018M01,2018M02,2018M03,2018Q2,2018M04,2018M05,2018M06,2018Q3,2018M07,2018M08,2018M09,2018Q4,2018M10,2018M11,2018M12,2019,2019Q1,2019M01,2019M02,2019M03,2019Q2,2019M04
,Discount Rate,Percent per Annum,FID_PA,Units,55.00,55.00,55.00,55.00,55.00,55.00,50.00,50.00,50.00,50.00,50.00,50.00,44.00,50.00,44.00,44.00,44.00,44.00,44.00,44.00,46.00,46.00,46.00,46.00,46.00,46.00,46.00,47.00,49.00,49.00,49.00,49.00,49.00,49.00,49.00,49.00,41.00,41.00,31.00,26.00,26.00,26.00,26.00,26.00,26.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,19.50,17.50,17.50,17.50,17.50,15.00,15.00,15.00,15.00,15.00,15.00,12.00,12.00,12.00,12.00,13.00,12.00,12.00,13.00,13.30,13.00,14.20,13.30,15.10,12.80,14.00,15.10,15.10,15.10,15.40,16.20,15.15,15.53,15.55,16.13,15.85,14.08,15.58,15.08,14.98,15.25,14.98,15.10,15.37,15.59,15.13,14.58,15.42,14.08,15.07,12.00,14.78,15.00,16.55,14.58,15.58,15.61,12.97,12.70,12.70,9.10,10.30,11.74,9.38,13.05,13.84,11.15,10.15,11.50,14.75,17.38,14.00,15.75,17.20,16.00,15.88,16.83,23.50,26.99,25.61,24.11,25.58,18.93,15.80,18.86,23.74,24.32,20.73,13.23,9.06,9.07,11.06,17.18,15.42,11.65,9.99,8.88,7.85,6.43,5.99,7.75,7.14,8.33,9.00,8.08,8.08,9.58,10.83,13.08,16.83,13.83,14.83,16.83,19.58,16.83,17.58,19.58,21.58,21.58,21.58,21.58,25.62,23.95,25.62,25.62,25.62,23.91,15.81,12.69,12.35,12.87,13.34,13.86,14.27,14.39,15.26,16.15,16.02,15.73,15.20,15.47,15.81,15.77,15.42,15.19,14.93,14.61,14.39,14.36,14.47,14.35,14.27,14.35,14.11,13.76,14.35,14.71,15.45,15.76,15.53,16.30,17.19,17.35,16.45,16.39,16.25,16.60,16.60,14.39,14.76,14.48,14.35,14.68,15.10,14.90,15.00,14.92,15.96,16.17,16.45,16.23,16.18,17.04,17.75,19.42,19.42,19.31,14.69,11.02,10.64,10.58,10.81,11.14,11.92,10.90,10.36,9.65,9.11,8.38,7.83,8.10,8.20,8.40,8.33,8.62,9.09,9.58,10.23,11.97,13.06,13.87,13.32,13.11,14.66,16.68,17.00,18.00,22.00,26.00,29.00,29.00,28.00,27.00,26.00,26.00,26.00,25.00,24.00,22.00,20.00,18.00,17.50,17.00,17.00,16.00,16.00,16.00,16.00,15.00,15.00,15.00,16.00,16.00,16.00,15.50,15.00,15.50,15.50,15.50,15.50,15.00,15.50,15.50,15.00,15.00,15.00,15.00,15.00,15.00,15.00,15.00,15.00,22.00,15.00,15.00,15.00,15.00,17.00,16.00,16.00,17.00,21.00,18.50,21.00,21.00,22.00,22.00,22.00,22.00,...,...,22.00,22.00,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,Treasury Bill Rate,Percent per Annum,FITB_PA,Units,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,39.80,39.40,41.60,43.50,43.20,41.90,38.50,31.52,19.13,22.05,22.86,23.01,21.80,23.79,23.25,22.89,22.50,19.46,17.05,17.80,19.24,21.45,21.85,20.05,14.18,10.78,9.27,7.88,6.81,6.84,5.64,6.29,7.39,8.20,7.21,6.77,9.13,9.81,10.20,7.37,8.56,6.56,9.53,9.58,9.94,9.12,11.28,9.41,10.61,9.73,10.72,11.39,11.88,11.48,11.75,12.03,11.45,11.67,12.84,13.44,12.12,10.59,12.88,10.62,10.03,10.79,11.68,9.76,10.27,10.67,10.12,9.92,10.00,10.34,9.36,9.37,9.64,8.68,7.61,7.61,6.95,6.68,6.17,8.33,7.31,5.54,4.95,5.48,4.98,4.44,8.56,8.12,7.67,5.63,8.45,11.31,8.76,10.80,11.73,9.08,8.83,7.69,12.43,18.36,17.56,15.32,17.63,15.30,10.96,13.40,17.12,20.30,17.41,9.96,6.06,5.98,7.90,13.65,12.05,8.99,6.87,5.71,4.90,3.40,2.97,4.69,4.03,5.26,5.86,6.24,6.45,6.99,8.81,10.66,14.10,13.56,15.22,13.52,16.64,14.43,16.98,18.51,17.24,20.39,16.47,14.85,19.49,17.59,19.43,21.44,20.03,14.39,7.83,5.34,5.96,6.39,6.90,7.43,7.67,7.73,8.90,9.64,9.23,8.99,8.33,8.99,9.09,9.08,8.60,8.45,8.09,7.86,7.64,7.70,7.77,7.59,7.57,7.66,7.28,7.07,7.90,8.15,8.98,8.70,8.84,9.91,10.72,10.14,9.84,9.61,9.59,10.01,10.01,7.54,8.01,7.71,7.65,8.15,8.89,8.35,8.32,8.21,8.27,8.61,9.05,8.70,8.49,9.72,10.05,12.25,12.25,10.19,7.37,6.16,6.26,6.22,6.41,6.88,8.18,6.77,6.36,5.65,4.93,4.38,3.78,4.15,4.21,4.40,4.27,4.80,5.14,5.75,6.40,7.97,9.34,9.99,9.07,9.32,11.12,12.68,14.24,15.95,17.23,21.23,22.24,22.89,23.14,19.70,17.31,18.10,18.23,18.57,18.65,13.76,11.48,9.68,9.84,9.93,9.75,9.63,9.35,10.08,9.97,10.12,9.94,9.79,9.97,10.28,10.93,9.29,10.23,9.39,8.82,9.41,9.93,10.03,10.51,10.12,9.46,10.35,9.61,10.82,10.62,11.14,11.05,11.07,11.30,15.83,12.35,11.51,12.25,13.28,14.00,14.20,13.95,13.85,16.45,14.60,16.18,18.58,20.51,21.18,20.64,19.72,15.88,19.41,20.50,21.11,16.61,14.96,14.95,14.77,15.17,15.03,15.71,15.19,14.20,14.12,14.11,14.11,14.14,10.60,13.03,14.04,13.45,11.59,10.65,10.49,10.73,10.73,9.92,10.10,9.85,9.81,8.80,9.18,8.80,8.42,9.81,8.66,8.60,8.68,8.69,9.10,8.74,8.77,9.78,10.36,10.52,10.60,9.95,11.13,11.46,11.12,10.80,...,10.25,10.92,9.85,9.98,...,9.72
,Savings Rate,Percent per Annum,FISR_PA,Units,33.00,33.00,33.00,33.00,33.00,33.00,30.00,30.00,30.00,30.00,30.00,30.00,28.67,30.00,28.00,28.00,28.00,28.00,28.00,28.00,32.00,32.00,32.00,32.00,32.00,32.00,32.00,33.00,35.00,35.00,35.00,35.00,35.00,35.00,35.00,29.00,21.00,10.10,13.10,13.90,14.00,12.80,14.80,14.30,13.90,13.50,10.50,8.10,8.30,10.24,12.36,13.03,11.05,5.18,1.99,4.10,2.42,2.97,2.66,2.70,2.67,2.70,2.65,2.68,2.78,2.77,2.77,2.81,2.73,2.78,2.77,2.80,2.77,2.80,2.76,2.79,2.85,2.88,2.86,2.86,2.92,3.09,3.14,3.16,3.34,3.29,3.28,3.38,3.39,3.40,3.76,3.38,3.40,3.39,3.35,3.24,3.29,4.06,4.17,4.18,4.19,4.26,4.26,4.23,4.22,4.27,4.22,4.22,4.22,4.18,4.15,3.85,3.91,4.10,4.10,3.96,3.47,4.07,5.78,5.10,3.90,3.90,3.72,3.29,3.41,3.48,3.34,3.52,3.48,3.06,3.89,4.01,3.94,4.27,4.42,4.26,4.42,4.15,4.42,4.37,4.94,5.07,4.06,3.55,3.49,3.14,3.45,3.54,3.36,3.58,2.03,1.13,1.00,1.04,1.97,2.03,2.02,2.02,1.83,1.98,2.34,2.34,2.00,2.06,2.02,2.10,2.05,2.32,2.04,2.02,2.89,2.59,2.46,2.66,2.65,2.57,2.63,2.59,2.49,2.40,2.39,2.12,1.87,2.12,2.14,2.20,2.11,1.76,1.79,1.73,1.76,1.76,1.72,1.94,1.77,1.78,1.77,1.79,1.77,1.97,1.94,1.88,1.92,1.85,1.95,2.00,1.99,2.00,2.02,2.09,2.07,2.12,2.08,2.02,2.02,2.17,2.23,2.08,2.12,2.15,2.79,1.61,2.03,2.60,2.67,2.70,2.66,2.61,2.60,2.59,2.58,2.51,2.10,2.10,2.08,2.06,2.10,2.14,2.19,2.23,2.42,2.39,2.21,2.18,2.36,2.25,2.37,2.36,2.24,2.22,2.25,2.15,2.27,2.31,2.36,2.44,2.43,2.49,2.56,2.39,2.32,2.41,2.37,2.35,2.41,2.38,2.36,2.35,2.30,2.33,2.29,2.37,2.37,2.38,2.31,3.23,3.18,3.25,3.30,3.28,3.27,3.26,3.15,3.07,3.08,3.17,3.18,3.29,2.28,3.24,3.23,3.06,3.12,3.28,3.30,3.29,2.30,2.39,2.47,2.71,3.01,3.07,3.45,2.51,2.38,2.52,2.31,2.31,2.35,2.34,2.29,2.41,3.12,2.54,3.58,3.23,3.35,3.18,3.31,2.94,3.29,3.22,3.28,3.13,3.26,3.44,3.64,3.20,3.49,3.54,3.57,3.52,3.52,3.49,3.18,3.16,3.19,3.20,3.67,3.68,3.62,3.71,3.54,3.47,3.52,3.63,3.58,3.32,3.73,3.69,3.14,2.81,2.78,2.62,3.02,2.72,2.88,2.95,2.34,3.50,3.44,3.51,3.55,3.54,3.48,3.61,3.54,3.53,3.57,3.59,3.56,3.55,3.52,3.53,3.52,3.51,3.52,3.47,3.55,3.53,3.51,3.51,3.49,3.53,...,3.68,3.60,3.55,3.88,...,...
